Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,4/20/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8547E+11,1.73035E+11,1.91105E+11,2.27304E+11,2.16663E+11,2.44947E+11,2.45937E+11,3.28407E+11,3.69315E+11,3.88493E+11,4.49829E+11,4.58118E+11,4.73539E+11,4.80162E+11,4.97064E+11,
Angola,AGO,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.60909E+11,5.84585E+11,5.50801E+11,,,,,,,,,,,,,,,
Albania,ALB,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.46403E+11,3.08169E+11,3.35851E+11,3.81601E+11,4.07198E+11,4.45763E+11,4.57816E+11,4.79891E+11,5.06884E+11,5.2548E+11,5.51448E+11,5.85725E+11,5.88786E+11,6.0445E+11,6.05747E+11,6.10477E+11,6.21666E+11,6.25159E+11,6.36417E+11,6.47432E+11,6.54861E+11,
Andorra,AND,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.92954E+11,7.19212E+11,7.77908E+11,8.63493E+11,9.72956E+11,1.1425E+12,1.20989E+12,1.35085E+12,1.11288E+12,1.06459E+12,1.18594E+12,1.2433E+12,1.33869E+12,1.37507E+12,1.19885E+12,1.25946E+12,
Argentina,ARG,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,,1.86371E+11,2.00126E+11,1.85398E+11,1.79875E+11,2.02045E+11,2.29874E+11,2.21649E+11,2.31065E+11,2.40369E+11,2.60786E+11,2.67678E+11,2.82067E+11,2.87987E+11,2.98125E+11,3.11456E+11,3.11352E+11,3.03851E+11,3.22084E+11,3.06914E+11,3.41445E+11,3.60666E+11,3.42104E+11,3.18732E+11,3.31769E+11,3.42158E+11,3.11783E+11,3.33967E+11,3.4213E+11,3.35702E+11,3.09964E+11,2.9867E+11,3.40153E+11,3.84749E+11,4.07983E+11,4.3181E+11,4.18347E+11,4.46455E+11,4.821E+11,4.96399E+11,4.74993E+11,4.77782E+11,4.5655E+11,3.97854E+11,4.40712E+11,4.85115E+11,5.2451E+11,5.71688E+11,6.28658E+11,6.68666E+11,6.29858E+11,7.01336E+11,7.60811E+11,7.56634E+11,7.59856E+11,7.36551E+11,7.48006E+11,7.39602E+11,
Armenia,ARM,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18155E+12,1.04301E+12,6.0663E+11,6.35636E+11,5.84156E+11,6.24537E+11,6.61209E+11,6.83224E+11,7.32966E+11,7.57141E+11,8.01873E+11,8.78472E+11,9.94294E+11,1.1338E+12,1.25628E+12,1.43104E+12,1.61896E+12,1.82517E+12,1.92852E+12,1.61687E+12,1.683E+12,1.73072E+12,1.86258E+12,1.88598E+12,1.93103E+12,1.96383E+12,1.9275E+12,
American Samoa,ASM,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628717352.4,625176882.7,612619047.6,575286645,551492113.6,558066022.5,576234748,678000000,569852886.4,564670840.8,600063763.6,577196567.9,557946902.7,562706240.5,556284552.8,
