,Country Name,Happiness Rank 2015,Happiness Rank 2016,Happiness Score 2015,Happiness Score 2016,GDP 2015,GDP 2016,Population 2015,Population 2016,GDI 2015,GDI 2016,GDP Per capita 2015,GDP per capita 2016,CPI 2015,CPI 2016
0,Switzerland,1,2,7.587000000000001,7.5089999999999995,679000000000.0,669000000000.0,8282396.0,8372413.0,81981.10788230845,79905.27939794656,81981.10788230845,79905.27939794656,100.617575,100.1802833
1,Iceland,2,3,7.561,7.501,16942247374.0,20304098101.0,330815.0,335439.0,51213.66133337364,60529.92675568434,51213.66133337364,60529.92675568434,239.8151583,243.876225
2,Denmark,3,1,7.527,7.526,301000000000.0,307000000000.0,5683483.0,5728010.0,52960.482155044716,53596.27514616769,52960.482155044716,53596.27514616769,100.0,100.25
3,Norway,4,4,7.522,7.497999999999999,387000000000.0,371000000000.0,5190239.0,5236151.0,74563.0403532477,70853.57164069562,74563.0403532477,70853.57164069562,100.0,103.55
4,Canada,5,6,7.4270000000000005,7.404,1560000000000.0,1540000000000.0,35832513.0,36264604.0,43535.880388852434,42465.65052799143,43535.880388852434,42465.65052799143,126.56666670000001,128.375
5,Netherlands,7,7,7.377999999999999,7.3389999999999995,758000000000.0,777000000000.0,16939923.0,17030314.0,44746.366320555295,45624.525772102614,44746.366320555295,45624.525772102614,100.0,100.3166667
6,Sweden,8,10,7.364,7.291,498000000000.0,514000000000.0,9799186.0,9923085.0,50820.5477475374,51798.407450908664,50820.5477475374,51798.407450908664,313.34583330000004,316.43
7,New Zealand,9,8,7.2860000000000005,7.334,176000000000.0,185000000000.0,4595700.0,4693200.0,38296.66862501904,39418.73348674678,38296.66862501904,39418.73348674678,119.925,120.7
8,Australia,10,9,7.284,7.313,1350000000000.0,1200000000000.0,23850784.0,24210809.0,56601.912960177746,49564.63867027326,56601.912960177746,49564.63867027326,107.675,109.05
9,Israel,11,11,7.278,7.267,299000000000.0,318000000000.0,8380100.0,8546000.0,35679.765157933674,37210.39082611748,35679.765157933674,37210.39082611748,100.50555329999999,99.95786083
10,Costa Rica,12,14,7.226,7.087000000000001,54840103850.0,57435507212.0,4807852.0,4857274.0,11406.362727055659,11824.638101947718,11406.362727055659,11824.638101947718,99.53395157,99.51671948
11,Austria,13,12,7.2,7.119,382000000000.0,391000000000.0,8633169.0,8731471.0,44247.9464956611,44780.54156052285,44247.9464956611,44780.54156052285,110.66666670000001,111.70833329999999
12,Mexico,14,21,7.187,6.778,1150000000000.0,1050000000000.0,125890949.0,127540423.0,9134.890229479484,8232.684001683137,9134.890229479484,8232.684001683137,116.67875,119.97108329999999
13,United States,15,13,7.119,7.104,18100000000000.0,18600000000000.0,320896618.0,323127513.0,56404.458584851775,57562.41499621235,56404.458584851775,57562.41499621235,237.017,240.0071667
14,Brazil,16,17,6.983,6.952000000000001,1800000000000.0,1800000000000.0,205962108.0,207652865.0,8739.471631354638,8668.312859540849,8739.471631354638,8668.312859540849,4310.12,4686.786917
15,Luxembourg,17,20,6.946000000000001,6.871,57784495265.0,58631324559.0,569604.0,582014.0,101446.7863024136,100738.68422237266,101446.7863024136,100738.68422237266,100.0,100.2908333
16,Ireland,18,19,6.94,6.907,291000000000.0,305000000000.0,4646554.0,4749777.0,62627.05652403911,64213.54097255513,62627.05652403911,64213.54097255513,100.325,100.33333329999999
17,Belgium,19,18,6.937,6.928999999999999,455000000000.0,468000000000.0,11274196.0,11338476.0,40357.645015218826,41275.388332611896,40357.645015218826,41275.388332611896,100.9025,102.8941667
18,United Kingdom,21,23,6.867000000000001,6.725,2890000000000.0,2650000000000.0,65128861.0,65595565.0,44373.56888522893,40399.07271169934,44373.56888522893,40399.07271169934,100.0083333,100.65
19,Singapore,24,22,6.797999999999999,6.739,297000000000.0,297000000000.0,5535002.0,5607283.0,53658.517196561086,52966.829032884554,53658.517196561086,52966.829032884554,99.46091667,98.9315
20,Panama,25,25,6.7860000000000005,6.7010000000000005,52132289700.0,55187700000.0,3969249.0,4034119.0,13134.04366921803,13680.236006919975,13134.04366921803,13680.236006919975,102.7666667,103.5268667
21,Germany,26,16,6.75,6.994,3380000000000.0,3480000000000.0,81686611.0,82487842.0,41377.650004356285,42188.03541981375,41377.650004356285,42188.03541981375,106.89166670000002,107.40833329999998
22,Chile,27,24,6.67,6.705,243000000000.0,247000000000.0,17762681.0,17909754.0,13680.367282393914,13791.367541955071,13680.367282393914,13791.367541955071,108.935,113.06
23,Qatar,28,36,6.611000000000001,6.375,165000000000.0,152000000000.0,2481539.0,2569804.0,66490.99611168714,59148.47980624203,66490.99611168714,59148.47980624203,105.01666670000002,108.03333329999998
24,France,29,32,6.575,6.478,2430000000000.0,2470000000000.0,66624068.0,66892205.0,36473.305712884416,36925.07968604114,36473.305712884416,36925.07968604114,99.99916667,100.1825
25,Czech Republic,31,27,6.505,6.596,187000000000.0,195000000000.0,10546059.0,10566332.0,17731.742255566747,18454.843175474707,17731.742255566747,18454.843175474707,123.55833329999999,124.375
26,Uruguay,32,29,6.485,6.545,53274304215.0,52419720714.0,3431552.0,3444006.0,15524.842466324275,15220.566025146298,15524.842466324275,15220.566025146298,146.05833330000002,160.1375
27,Colombia,33,31,6.477,6.481,292000000000.0,282000000000.0,48228697.0,48653419.0,6054.486605765028,5796.098317365939,6054.486605765028,5796.098317365939,122.58,131.79
28,Thailand,34,33,6.455,6.474,399000000000.0,407000000000.0,68657600.0,68863514.0,5811.446948334926,5910.241524996822,5811.446948334926,5910.241524996822,99.99914004,100.18728809999999
29,Saudi Arabia,35,34,6.4110000000000005,6.379,652000000000.0,646000000000.0,31557144.0,32275687.0,20660.931800418948,20015.065829582498,20660.931800418948,20015.065829582498,118.2321083,122.35455
30,Spain,36,37,6.329,6.361000000000001,1200000000000.0,1240000000000.0,46444832.0,46484533.0,25837.104976502014,26675.539582165966,25837.104976502014,26675.539582165966,100.2030833,100.0
31,Kuwait,39,41,6.295,6.239,115000000000.0,111000000000.0,3935794.0,4052584.0,29219.008921706776,27389.931954525804,29219.008921706776,27389.931954525804,137.30833330000002,141.7
32,Guatemala,43,39,6.122999999999999,6.324,63767597194.0,68763255964.0,16252429.0,16582469.0,3923.573343652201,4146.74412863368,3923.573343652201,4146.74412863368,119.5175,124.83416670000001
33,Japan,46,53,5.987,5.921,4390000000000.0,4950000000000.0,127141000.0,126994511.0,34528.59423789336,38978.062603036444,34528.59423789336,38978.062603036444,100.0,99.88333333
34,Bolivia,51,59,5.89,5.822,33000198263.0,33806395514.0,10724705.0,10887882.0,3077.0261991355474,3104.9560891640817,3077.0261991355474,3104.9560891640817,158.4033333,164.14583330000002
