,Country Name,Happiness Rank 2015,Happiness Score 2015,Happiness Rank 2016,Happiness Score 2016,GDP(billions) 2015,"GDP, 2016 (billions)",Total Population 2015,Total Population 2016,GDP/Pop 2015,GDP/Pop 2016,GDI 2015,GDI 2016,GDI/Pop 2015,GDI/Pop 2016,CPI 2015,CPI 2016
0,Switzerland,1,7.587,2,7.509,679,669,8282.4,8372.41,81.98106829,79.90530803,667374979129.68,665608700930.59,80577487.10,79500251.53,100.617575,100.1802833
1,Iceland,2,7.561,3,7.501,16.94,20.3,330.82,335.44,51.20609395,60.51752922,1891027293517.17,2063428904961.98,5716181892.02,6151409804.92,239.8151583,243.876225
2,Denmark,3,7.527,1,7.526,301,307,5683.48,5728.01,52.96051011,53.59627515,1928782890026.64,1958050042864.58,339366530.72,341837748.69,100,100.25
3,Norway,4,7.522,4,7.498,387,371,5190.24,5236.15,74.56302599,70.85358517,2739875024280.78,2682281911178.56,527889851.78,512262236.79,100,103.55
4,Canada,5,7.427,6,7.404,1560,1540,35832.51,36264.6,43.53588403,42.46565521,1819117077204.90,1834327473258.80,50767224.43,50581764.95,126.5666667,128.375
5,Netherlands,7,7.378,7,7.339,758,777,16939.92,17030.31,44.74637424,45.62453649,655601829907.86,673532298439.06,38701589.49,39549033.37,100,100.3166667
6,Sweden,8,7.364,10,7.291,498,514,9799.19,9923.08,50.820527,51.79843355,3923266794284.06,4057650455120.79,400366437.87,408910384.19,313.3458333,316.43
7,New Zealand,9,7.286,8,7.334,176,185,4595.7,4693.2,38.29666863,39.41873349,234232455545.99,243284336255.57,50967742.79,51837623.85,119.925,120.7
8,Australia,10,7.284,9,7.313,1350,1200,23850.78,24210.81,56.60192245,49.56463662,1617016000000.00,1626980501364.26,67797195.73,67200581.12,107.675,109.05
9,Israel,11,7.278,11,7.267,299,318,8380.1,8546,35.67976516,37.21039083,1071553389313.74,1128490547898.01,127868806.97,132048975.88,100.5055533,99.95786083
10,Costa Rica,12,7.226,14,7.087,54.84,57.44,4807.85,4857.27,11.40634587,11.8255728,26630769928379.80,28146836988608.00,5539018465.30,5794785340.04,99.53395157,99.51671948
11,Austria,13,7.2,12,7.119,382,391,8633.17,8731.47,44.24794137,44.78054669,312226020660.32,317699484984.51,36165860.36,36385566.80,110.6666667,111.7083333
12,Mexico,14,7.187,21,6.778,1150,1050,125890.95,127540.42,9.134890157,8.232684195,13789232825562.20,14138158358722.80,109533154.10,110852374.16,116.67875,119.9710833
13,United States,15,7.119,13,7.104,18100,18600,320896.62,323127.51,56.40445823,57.56241553,16751041592703.20,17027627212182.50,52200741.76,52696309.31,237.017,240.0071667
14,Brazil,16,6.983,17,6.952,1800,1800,205962.11,207652.86,8.739471546,8.668313068,1856833043317.75,1789139424339.53,9015410.86,8616011.47,4310.12,4686.786917
15,Luxembourg,17,6.946,20,6.871,57.78,58.63,569.6,582.01,101.4396067,100.7371007,46365819137.35,47286734191.19,81400665.62,81247288.18,100,100.2908333
16,Ireland,18,6.94,19,6.907,291,305,4646.55,4749.78,62.62711044,64.21350041,246424001291.77,258277811035.01,53033756.51,54376794.51,100.325,100.3333333
17,Belgium,19,6.937,18,6.929,455,468,11274.2,11338.48,40.3576307,41.27537377,383809450775.83,391940851664.46,34043164.99,34567318.69,100.9025,102.8941667
18,United Kingdom,21,6.867,23,6.725,2890,2650,65128.86,65595.56,44.37356957,40.39907579,1772900357271.75,1815163515267.94,27221424.68,27672048.46,100.0083333,100.65
19,Singapore,24,6.798,22,6.739,297,297,5535,5607.28,53.65853659,52.96685737,400518392608.81,402433395289.60,72361046.54,71769805.55,99.46091667,98.9315
20,Panama,25,6.786,25,6.701,52.13,55.19,3969.25,4034.12,13.1334635,13.68080275,36180201170.73,37658175457.84,9115122.80,9334917.02,102.7666667,103.5268667
21,Germany,26,6.75,16,6.994,3380,3480,81686.61,82487.84,41.37765051,42.18803644,2829916057119.76,2907015813062.02,34643573.25,35241749.73,106.8916667,107.4083333
22,Chile,27,6.67,24,6.705,243,247,17762.68,17909.75,13.68036805,13.79137062,140833083338237.00,143889045245586.00,7928594296.48,8034118022.06,108.935,113.06
23,Qatar,28,6.611,36,6.375,165,152,2481.54,2569.8,66.49096932,59.14857187,581097445297.29,,234168075.19,,105.0166667,108.0333333
24,France,29,6.575,32,6.478,2430,2470,66624.07,66892.2,36.47330462,36.92508245,2114123822329.48,2144629240514.21,31732132.58,32060976.32,99.99916667,100.1825
25,Czech Republic,31,6.505,27,6.596,187,195,10546.06,10566.33,17.73174057,18.45484667,4338574613813.33,4490172208468.42,411392938.58,424950972.43,123.5583333,124.375
26,Uruguay,32,6.485,29,6.545,53.27,52.42,3431.55,3444.01,15.52359721,15.22062944,705381191085.78,728110547975.89,205557602.57,211413598.68,146.0583333,160.1375
27,Colombia,33,6.477,31,6.481,292,282,48228.7,48653.42,6.054486229,5.796098198,543796931528407.00,553455166271422.00,11275380251.35,11375462737.69,122.58,131.79
28,Thailand,34,6.455,33,6.474,399,407,68657.6,68863.51,5.811446948,5.910241868,10066466492946.10,10569009024770.30,146618385.92,153477640.40,99.99914004,100.1872881
29,Saudi Arabia,35,6.411,34,6.379,652,646,31557.14,32275.69,20.66093442,20.01506397,2153502186242.67,2119572272456.72,68241361.11,65670858.55,118.2321083,122.35455
30,Spain,36,6.329,37,6.361,1200,1240,46444.83,46484.53,25.83710609,26.6755413,1056422302482.50,1092410836277.17,22745745.92,23500524.50,100.2030833,100
31,Kuwait,39,6.295,41,6.239,115,111,3935.79,4052.58,29.21903862,27.38995899,29943033040.46,28840126843.57,7607883.82,7116485.51,137.3083333,141.7
32,Guatemala,43,6.123,39,6.324,63.77,68.76,16252.43,16582.47,3.923720945,4.146547529,242634096594.12,252439146392.07,14929096.55,15223253.62,119.5175,124.8341667
33,Japan,46,5.987,53,5.921,4390,4950,127141,126994.51,34.52859424,38.97806291,524721430845827.00,534252531018354.00,4127082773.03,4206894699.77,100,99.88333333
34,Bolivia,51,5.89,59,5.822,33,33.81,10724.7,10887.88,3.077009147,3.105287714,41383274603.74,42543154948.50,3858688.32,3907386.47,158.4033333,164.1458333
35,Moldova,52,5.889,55,5.897,6.51,6.75,3554.11,3551.95,1.831682193,1.900364588,23905299782.65,24978570908.03,6726100.14,7032354.31,101.0682583,100.1982458
36,Paraguay,53,5.878,70,5.538,27.28,27.42,6639.12,6725.31,4.108978298,4.077135478,27179480392090.00,28327742014216.40,4093837796.59,4212109481.08,140.9,146.6583333
