,Country Name,Happiness Rank_x,Happiness Score_x,Happiness Rank_y,Happiness Score_y,GDP(billions) 2015,"GDP, 2016 (billions)",Total Population 2015,Total Population 2016,GDP/Pop 2015,GDP/Pop 2016,Unnamed: 0,GDI 2015,GDI 2016,GDI/Pop 2015,GDI/Pop 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016,CPI 2015,CPI 2016
0,Switzerland,1,7.587000000000001,2,7.5089999999999995,679.0,669.0,8282.4,8372.41,81.98106828938472,79.90530802958766,35,667374979129.682,665608700930.587,80577487.09669685,79500251.53218572,4310.12,4686.786917,4310.12,4686.786917,4310.12,4686.786917,4310.12,4686.786917,4310.12,4686.786917
1,Iceland,2,7.561,3,7.501,16.94,20.3,330.82,335.44,51.20609394837072,60.517529215358934,112,1891027293517.17,2063428904961.98,5716181892.017321,6151409804.918853,99.99916667,100.1825,99.99916667,100.1825,99.99916667,100.1825,99.99916667,100.1825,99.99916667,100.1825
2,Denmark,3,7.527,1,7.526,301.0,307.0,5683.48,5728.01,52.96051011000303,53.596275146167685,56,1928782890026.64,1958050042864.58,339366530.72178316,341837748.6883892,6550.406614,6498.085301,6550.406614,6498.085301,6550.406614,6498.085301,6550.406614,6498.085301,6550.406614,6498.085301
3,Norway,4,7.522,4,7.497999999999999,387.0,371.0,5190.24,5236.15,74.5630259872376,70.85358517231171,175,2739875024280.78,2682281911178.56,527889851.7757907,512262236.79202473,122.58,131.79,122.58,131.79,122.58,131.79,122.58,131.79,122.58,131.79
4,Canada,5,7.4270000000000005,6,7.404,1560.0,1540.0,35832.51,36264.6,43.53588403380059,42.4656552119698,33,1819117077204.9,1834327473258.8,50767224.434037685,50581764.95146231,126.56666670000001,128.375,126.56666670000001,128.375,126.56666670000001,128.375,126.56666670000001,128.375,126.56666670000001,128.375
5,Finland,6,7.406000000000001,5,7.412999999999999,232.0,239.0,5479.53,5495.3,42.3393977220674,43.491711098575145,73,188854446348.82895,194006594202.899,34465446.18768927,35304095.172765635,113.38833329999999,114.20833329999999,113.38833329999999,114.20833329999999,113.38833329999999,114.20833329999999,113.38833329999999,114.20833329999999,113.38833329999999,114.20833329999999
6,Netherlands,7,7.377999999999999,7,7.3389999999999995,758.0,777.0,16939.92,17030.31,44.74637424497873,45.62453648817901,174,655601829907.864,673532298439.057,38701589.49439336,39549033.366923854,100.0,98.875,100.0,98.875,100.0,98.875,100.0,98.875,100.0,98.875
7,Sweden,8,7.364,10,7.291,498.0,514.0,9799.19,9923.08,50.82052700274206,51.79843355087332,221,3923266794284.06,4057650455120.79,400366437.8672176,408910384.18724734,106.89166670000002,107.40833329999998,106.89166670000002,107.40833329999998,106.89166670000002,107.40833329999998,106.89166670000002,107.40833329999998,106.89166670000002,107.40833329999998
8,New Zealand,9,7.2860000000000005,8,7.334,176.0,185.0,4595.7,4693.2,38.296668625019045,39.41873348674679,178,234232455545.985,243284336255.565,50967742.79130165,51837623.850584894,127.3769768,130.0604367,127.3769768,130.0604367,127.3769768,130.0604367,127.3769768,130.0604367,127.3769768,130.0604367
9,Australia,10,7.284,9,7.313,1350.0,1200.0,23850.78,24210.81,56.6019224528506,49.56463662306217,11,1617016000000.0,1626980501364.26,67797195.73112494,67200581.11910589,114.85833329999998,117.51945829999998,114.85833329999998,117.51945829999998,114.85833329999998,117.51945829999998,114.85833329999998,117.51945829999998,114.85833329999998,117.51945829999998
